MSSubClass,OverallQual,OverallCond,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,SalePrice
20,7,5,1013,0,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,2,558,144,29,0,0,0,0,0,6,226000
30,4,6,0,0,747,747,747,0,0,747,0,0,1,0,2,1,4,0,1,220,0,0,0,0,0,0,0,6,80000
50,7,4,603,0,701,1304,1304,983,0,2287,0,0,2,0,3,1,7,1,2,667,0,21,114,0,0,0,0,7,225000
20,7,6,1880,0,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,2,516,300,0,0,0,0,0,0,2,244000
20,4,6,565,0,280,845,845,0,0,845,1,0,1,0,2,1,4,0,2,360,0,0,0,0,0,0,0,6,129500
60,7,5,0,0,832,832,885,833,0,1718,0,0,2,1,3,1,7,1,2,427,0,94,0,0,291,0,0,12,185000
20,5,7,320,362,404,1086,1086,0,0,1086,1,0,1,0,3,1,6,0,2,490,0,0,0,0,0,0,0,5,144900
50,3,6,0,0,840,840,840,765,0,1605,0,0,2,0,3,2,8,0,1,379,0,0,202,0,0,0,0,5,107400
180,4,5,462,0,0,462,526,462,0,988,1,0,1,0,2,1,5,0,1,297,120,101,0,0,0,0,0,11,91000
20,4,7,228,0,724,952,952,0,0,952,0,0,1,0,2,1,4,0,1,283,0,0,0,0,0,0,0,4,135750
50,5,5,336,41,295,672,1072,213,0,1285,1,0,1,0,2,1,6,0,1,240,0,0,0,0,0,0,0,1,127000
90,4,5,0,0,1768,1768,1768,0,0,1768,0,0,2,0,4,2,8,0,0,0,0,0,0,0,0,0,0,4,136500
50,5,6,0,0,440,440,682,548,0,1230,0,0,1,1,2,1,5,0,2,440,74,0,128,0,0,0,0,5,110000
60,6,6,448,0,448,896,1182,960,0,2142,0,0,2,1,4,1,8,1,1,509,0,72,0,0,252,0,0,6,193500
120,6,5,1201,0,36,1237,1337,0,0,1337,1,0,2,0,2,1,5,0,2,405,0,199,0,0,0,0,0,3,153500
20,8,5,33,0,1530,1563,1563,0,0,1563,0,0,2,0,3,1,6,1,3,758,144,99,0,0,0,0,0,10,245000
20,5,5,0,0,1065,1065,1065,0,0,1065,0,0,1,1,3,1,6,0,2,461,74,0,0,0,0,0,0,7,126500
80,7,5,0,0,384,384,804,670,0,1474,0,0,2,1,3,1,7,1,2,400,120,72,0,0,0,0,700,5,168500
60,8,5,0,0,1288,1288,1301,1116,0,2417,0,0,2,1,4,1,9,1,2,462,127,82,0,0,0,0,0,4,260000
60,6,5,0,0,684,684,684,876,0,1560,0,0,2,1,3,1,6,1,2,400,100,38,0,0,0,0,0,3,174000
160,6,5,0,0,612,612,612,612,0,1224,0,0,2,1,2,1,4,0,2,528,0,234,0,0,0,0,0,6,164500
50,3,2,0,0,1013,1013,1013,0,513,1526,0,0,1,0,2,1,6,0,0,0,0,0,156,0,0,0,0,10,85000
20,4,5,588,0,402,990,990,0,0,990,1,0,1,0,3,1,5,0,0,0,0,0,0,0,0,0,0,8,123600
20,4,5,0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,4,0,2,420,0,29,0,0,0,0,0,7,109900
20,5,3,600,0,635,1235,1235,0,0,1235,0,0,1,0,2,1,6,0,2,480,0,0,0,0,0,0,0,12,98600
30,5,7,713,0,163,876,964,0,0,964,1,0,1,0,2,1,5,0,2,432,0,0,44,0,0,0,0,8,163500
190,6,6,1046,0,168,1214,1260,1031,0,2291,0,1,2,0,4,2,9,1,2,506,0,0,0,0,99,0,0,11,133900
60,6,5,648,0,176,824,905,881,0,1786,1,0,2,1,3,1,7,0,2,684,0,162,0,0,0,0,0,5,204750
60,6,8,310,0,370,680,680,790,0,1470,0,0,2,1,3,1,6,1,2,420,232,63,0,0,0,0,480,4,185000
20,7,5,1162,0,426,1588,1588,0,0,1588,0,0,2,0,3,1,6,0,2,472,158,29,0,0,0,0,0,8,214000
20,4,5,520,0,440,960,960,0,0,960,1,0,1,0,3,1,6,0,1,432,120,0,0,0,0,0,0,5,94750
30,5,5,108,0,350,458,835,0,0,835,0,0,1,0,2,1,5,0,1,366,0,0,77,0,0,0,400,5,83000
20,4,5,569,0,381,950,1225,0,0,1225,1,0,1,1,3,1,6,0,0,0,352,0,0,0,0,0,400,1,128950
20,6,7,1200,0,410,1610,1610,0,0,1610,1,0,2,0,3,1,6,2,2,480,168,68,0,0,0,0,0,2,205000
60,6,5,0,0,741,741,977,755,0,1732,0,0,2,1,3,1,7,1,2,476,192,46,0,0,0,0,0,6,178000
90,5,5,0,0,0,0,1535,0,0,1535,0,0,2,0,4,2,8,0,2,410,0,0,0,0,0,0,0,6,118964
20,7,5,0,0,1226,1226,1226,0,0,1226,0,0,2,0,3,1,6,0,3,740,0,36,0,0,0,0,0,5,198900
50,7,4,224,0,816,1040,1226,592,0,1818,0,0,1,1,4,1,7,2,1,240,0,0,0,0,184,0,0,6,169500
60,8,5,0,0,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,2,648,140,45,0,0,0,0,0,8,250000
30,4,7,0,0,641,641,1047,0,0,1047,0,0,1,0,2,1,6,0,1,273,0,0,0,0,0,0,450,8,100000
20,5,5,104,169,516,789,789,0,0,789,0,0,1,0,2,1,5,0,1,250,0,0,0,0,0,0,0,4,115000
50,5,7,0,0,793,793,997,520,0,1517,0,0,2,0,3,1,7,0,0,0,0,0,144,0,0,0,0,8,115000
20,6,6,705,0,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,2,546,0,122,0,0,0,0,0,1,190000
50,6,4,444,0,550,994,1216,639,0,1855,0,0,2,0,4,1,7,0,1,325,182,0,0,0,0,0,0,10,136900
80,7,5,250,0,134,384,774,656,0,1430,0,0,2,1,3,1,7,1,2,400,180,0,0,0,0,0,0,4,180000
60,7,5,984,0,280,1264,1282,1414,0,2696,1,0,2,1,4,1,10,1,3,792,120,184,0,0,168,0,0,10,383970
20,6,5,35,869,905,1809,2259,0,0,2259,1,0,2,0,3,1,7,2,2,450,166,120,192,0,0,0,0,10,217000
70,6,8,774,150,104,1028,1436,884,0,2320,1,0,2,1,3,1,9,1,1,180,224,0,0,0,0,0,0,7,259500
160,6,5,419,0,310,729,729,729,0,1458,0,0,2,1,2,1,5,1,2,440,0,32,0,0,0,0,0,6,176000
20,5,5,170,670,252,1092,1092,0,0,1092,0,1,1,0,3,1,6,1,1,288,0,20,144,0,0,0,0,9,139000
20,5,5,0,0,1125,1125,1125,0,0,1125,0,0,1,1,2,1,5,0,2,430,80,64,0,0,0,0,0,4,155000
60,7,5,1470,0,203,1673,1699,1523,0,3222,1,0,3,0,5,1,11,2,3,594,367,0,0,0,0,0,0,5,320000
60,6,5,0,0,728,728,728,728,0,1456,0,0,2,1,3,1,8,1,2,390,0,24,0,0,0,0,0,7,163990
80,6,5,938,0,0,938,988,0,0,988,1,0,1,0,1,1,4,2,2,540,0,130,0,130,0,0,0,10,180000
50,4,5,0,0,732,732,772,351,0,1123,0,0,1,0,3,1,4,0,1,264,0,0,140,0,0,0,0,6,100000
20,6,7,570,0,510,1080,1080,0,0,1080,0,0,1,0,3,1,5,0,1,288,0,0,0,0,130,0,0,6,136000
120,6,5,300,0,899,1199,1199,0,0,1199,0,0,2,0,2,1,5,0,2,530,0,63,0,0,0,0,0,3,153900
20,6,5,0,0,1362,1362,1586,0,0,1586,0,0,2,0,3,1,7,1,2,435,192,0,0,0,0,0,0,1,181000
190,6,8,490,0,30,520,520,0,234,754,1,0,1,0,2,1,5,0,0,0,53,0,0,0,0,0,0,6,84500
120,6,5,120,0,958,1078,958,0,0,958,0,0,2,0,2,1,5,1,2,440,0,205,0,0,0,0,0,2,128000
45,5,7,116,0,556,672,840,0,0,840,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,6,87000
60,6,5,512,0,148,660,660,688,0,1348,0,0,1,1,3,1,6,1,2,453,188,108,0,0,0,0,0,7,155000
20,5,7,567,28,413,1008,1053,0,0,1053,0,1,1,1,3,1,6,0,2,750,0,80,0,180,0,0,0,7,150000
60,7,6,445,0,479,924,1216,941,0,2157,0,0,2,1,4,1,8,2,2,487,105,66,0,0,0,0,0,5,226000
60,6,5,695,0,297,992,1022,1032,0,2054,1,0,2,1,3,1,7,1,2,390,24,48,0,0,0,0,0,7,244000
20,5,6,405,0,658,1063,1327,0,0,1327,1,0,1,0,3,1,7,0,2,624,0,0,0,0,0,0,0,7,150750
20,8,5,1005,0,262,1267,1296,0,0,1296,1,0,2,0,2,1,6,0,2,471,192,25,0,0,0,0,0,6,220000
20,5,6,570,0,891,1461,1721,0,0,1721,0,0,2,1,3,1,7,1,2,440,0,96,180,0,0,0,0,7,180000
20,7,6,0,0,1304,1304,1682,0,0,1682,0,0,2,0,3,1,7,1,2,530,98,0,0,0,0,0,0,5,174000
20,5,5,695,0,519,1214,1214,0,0,1214,0,0,2,0,3,1,5,1,1,318,0,111,0,0,0,0,0,7,143000
90,7,5,0,0,1907,1907,1959,0,0,1959,0,0,3,0,5,2,9,0,3,766,0,0,0,0,0,0,0,7,171000
60,8,5,668,0,336,1004,1004,848,0,1852,0,0,2,1,3,1,7,2,3,660,224,106,0,0,0,0,0,12,230000
60,6,5,821,0,107,928,928,836,0,1764,1,0,2,1,3,1,7,0,2,470,276,99,0,0,0,0,0,8,231500
20,4,5,432,0,432,864,864,0,0,864,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,4,115000
20,7,5,1300,0,434,1734,1734,0,0,1734,1,0,2,0,3,1,7,0,2,660,160,24,0,0,0,0,0,1,260000
50,5,4,507,0,403,910,910,475,0,1385,0,0,2,0,4,1,6,0,2,720,0,0,0,0,0,0,0,6,166000
20,7,5,679,0,811,1490,1501,0,0,1501,1,0,2,0,3,1,6,0,2,577,144,29,0,0,0,0,0,6,204000
90,5,5,1332,0,396,1728,1728,0,0,1728,1,0,2,0,6,2,10,0,2,504,0,0,0,0,0,0,0,11,125000
160,6,5,0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2,380,0,40,0,0,0,0,0,4,130000
30,5,7,209,0,506,715,875,0,0,875,1,0,1,0,2,1,5,0,1,180,48,0,0,0,0,0,0,11,105000
60,7,5,0,0,884,884,884,1151,0,2035,0,0,2,1,3,1,8,1,2,434,144,48,0,0,0,0,0,5,222500
20,7,5,680,0,400,1080,1080,0,0,1080,1,0,1,0,3,1,6,0,0,0,0,0,0,0,0,0,0,4,141000
50,5,4,0,0,896,896,896,448,0,1344,0,0,1,0,3,1,7,0,1,240,200,114,0,0,0,0,0,4,115000
20,5,6,716,0,253,969,969,0,0,969,0,0,1,1,3,1,5,0,2,440,0,0,0,0,0,0,0,1,122000
20,8,5,1400,0,310,1710,1710,0,0,1710,1,0,2,0,2,1,6,1,3,866,0,102,0,0,0,0,0,1,372402
60,6,5,416,0,409,825,1097,896,0,1993,0,0,2,1,4,1,8,1,2,495,0,66,0,0,0,0,0,6,190000
20,6,7,429,1080,93,1602,1252,0,0,1252,1,0,1,0,1,1,4,1,2,564,409,0,0,0,0,0,0,3,235000
30,6,5,0,0,1200,1200,1200,0,0,1200,0,0,1,0,4,1,7,0,1,312,0,0,228,0,0,0,0,3,125000
50,6,5,0,0,572,572,572,524,0,1096,0,0,1,0,2,1,5,0,0,0,0,8,128,0,0,0,0,4,79000
20,5,7,0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,5,0,2,625,0,0,0,0,0,0,0,6,109500
60,8,5,0,0,774,774,774,1194,0,1968,0,0,2,1,4,1,8,1,3,680,0,75,0,0,0,0,0,5,269500
60,7,5,222,0,769,991,991,956,0,1947,0,0,2,1,3,1,8,1,2,678,0,136,0,0,0,0,0,5,254900
60,7,5,57,0,1335,1392,1392,1070,0,2462,1,0,2,1,4,1,9,1,2,576,239,132,0,168,0,0,0,3,320000
20,6,6,660,0,572,1232,1232,0,0,1232,0,0,2,0,3,1,6,0,2,516,0,0,0,0,0,0,0,6,162500
60,9,5,1016,0,556,1572,1572,1096,0,2668,1,0,2,1,3,1,10,2,3,726,400,0,0,0,0,0,0,3,412500
20,7,5,1201,0,340,1541,1541,0,0,1541,0,0,2,0,3,1,7,1,2,532,0,70,0,0,0,0,0,5,220000
45,4,6,0,0,882,882,882,0,0,882,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,4,103200
40,6,7,370,0,779,1149,1149,467,0,1616,0,0,2,0,3,1,5,0,1,216,0,0,183,0,0,0,0,10,152000
190,5,7,351,181,112,644,808,547,0,1355,1,0,2,0,4,2,6,0,0,0,140,0,0,0,0,0,0,9,127500
20,5,5,379,768,470,1617,1867,0,0,1867,1,0,1,0,2,1,7,3,1,303,476,0,0,0,142,0,0,11,190000
60,8,5,1288,0,294,1582,1610,551,0,2161,1,0,1,1,3,1,8,1,3,789,178,120,0,0,0,0,0,11,325624
60,7,5,0,0,840,840,840,880,0,1720,0,0,2,1,3,1,7,1,2,440,100,48,0,0,0,0,0,5,183500
20,8,6,0,0,1686,1686,1707,0,0,1707,0,0,2,1,2,1,6,1,2,511,574,64,0,0,0,0,0,1,228000
50,5,6,360,0,360,720,854,0,528,1382,0,0,1,1,2,1,7,0,2,660,237,0,0,0,0,0,0,5,128500
20,6,5,639,0,441,1080,1656,0,0,1656,1,0,1,0,3,1,7,2,2,528,210,62,0,0,0,0,0,5,215000
160,7,7,495,215,354,1064,1064,703,0,1767,1,0,2,0,2,1,5,1,2,504,441,35,0,0,0,0,0,6,239000
20,6,5,288,374,700,1362,1362,0,0,1362,1,0,1,1,3,1,6,1,2,504,0,20,0,0,0,0,0,6,163000
20,6,5,1398,208,0,1606,1651,0,0,1651,1,0,2,0,3,1,7,1,2,616,192,0,0,0,0,0,0,11,184000
20,6,7,477,0,725,1202,2158,0,0,2158,1,0,2,0,4,1,7,1,2,576,0,29,39,0,0,0,0,6,243000
60,6,5,831,0,320,1151,1164,896,0,2060,0,1,2,1,4,1,8,1,2,521,0,228,0,0,192,0,0,9,211000
50,5,5,57,441,554,1052,1252,668,0,1920,1,0,2,0,4,1,8,1,2,451,0,0,0,0,0,0,0,7,172500
20,9,5,1904,0,312,2216,2234,0,0,2234,1,0,2,0,1,1,9,1,3,1166,0,60,0,0,0,0,0,7,501837
30,5,6,0,0,968,968,968,0,0,968,0,0,1,0,2,1,5,0,2,480,0,0,184,0,0,0,0,7,100000
160,6,5,436,0,320,756,769,756,0,1525,0,0,2,1,3,1,5,1,2,440,0,0,0,0,0,0,0,6,177000
70,7,6,352,0,441,793,901,901,0,1802,0,0,1,1,4,1,9,1,1,216,0,0,40,0,0,0,0,7,200100
20,5,6,0,0,0,0,1340,0,0,1340,0,0,1,0,3,1,7,1,1,252,116,0,0,180,0,0,0,6,120000
50,7,5,0,0,1362,1362,1362,720,0,2082,0,0,2,1,3,1,6,0,2,484,280,238,0,0,0,0,0,6,200000
50,5,8,0,0,504,504,936,316,0,1252,0,0,1,0,3,1,5,0,2,576,104,0,0,0,0,0,0,6,127000
75,10,9,0,0,1107,1107,1518,1518,572,3608,0,0,2,1,4,1,12,2,3,840,0,260,0,0,410,0,0,6,475000
80,7,5,611,0,577,1188,1217,0,0,1217,1,0,2,0,3,1,6,0,2,497,168,27,0,0,0,0,0,6,173000
50,5,7,0,0,660,660,808,704,144,1656,0,0,2,1,3,1,8,0,1,180,0,0,0,140,0,0,0,8,135000
90,5,5,1086,0,0,1086,1224,0,0,1224,2,0,0,2,2,2,6,2,2,528,120,0,0,0,0,0,0,6,153337
120,8,5,1153,0,440,1593,1593,0,0,1593,1,0,1,1,0,1,5,1,2,682,0,120,0,0,224,0,0,8,286000
70,8,8,297,0,556,853,1549,1178,0,2727,0,0,2,1,3,1,10,2,2,440,0,74,0,0,0,0,0,12,315000
60,7,9,626,0,99,725,725,754,0,1479,1,0,1,1,4,1,7,0,2,484,0,32,0,0,0,0,0,6,184000
20,7,5,560,0,871,1431,1431,0,0,1431,1,0,2,0,3,1,6,0,2,666,0,35,0,0,0,0,0,9,192000
160,7,5,0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2,380,0,40,0,0,0,0,0,5,130000
20,5,7,390,0,474,864,864,0,0,864,0,0,1,0,3,1,5,0,1,352,0,0,0,0,0,0,0,5,127000
160,6,6,566,0,289,855,855,601,0,1456,0,0,2,1,3,1,7,1,2,440,87,0,0,0,0,0,0,7,148500
20,7,5,1126,0,600,1726,1726,0,0,1726,1,0,2,0,3,1,8,1,3,786,171,138,0,0,266,0,0,9,311872
75,8,4,1036,184,140,1360,1360,1360,392,3112,1,1,2,0,4,1,8,1,2,795,0,16,552,0,0,512,0,3,235000
75,6,6,0,0,755,755,929,929,371,2229,0,0,1,0,5,1,8,0,0,0,0,198,30,0,0,0,0,7,104000
20,8,5,1088,0,625,1713,1713,0,0,1713,1,0,2,0,3,1,7,1,3,856,0,26,0,0,170,0,0,1,274900
20,4,5,0,0,1121,1121,1121,0,0,1121,0,0,2,0,2,1,5,0,2,440,132,64,0,0,0,0,0,3,140000
20,6,6,641,279,276,1196,1279,0,0,1279,0,1,2,0,3,1,6,2,2,473,238,83,0,0,0,0,0,2,171500
50,6,6,617,0,0,617,865,445,0,1310,0,0,2,0,2,1,6,0,1,398,0,0,126,0,0,0,0,5,112000
120,6,5,662,0,186,848,848,0,0,848,1,0,1,0,1,1,3,1,2,420,149,0,0,0,0,0,0,1,149000
50,5,7,312,0,408,720,720,564,0,1284,0,0,1,1,2,1,5,0,1,240,0,35,0,0,0,0,0,4,110000
20,7,5,0,0,1424,1424,1442,0,0,1442,0,0,2,0,3,1,5,0,2,500,0,34,0,508,0,0,0,5,180500
20,5,5,0,0,1140,1140,1696,0,0,1696,0,0,1,1,3,1,8,1,1,349,0,30,0,0,0,0,0,3,143900
20,4,5,419,306,375,1100,1100,0,0,1100,1,0,1,0,3,1,6,1,1,312,355,0,0,0,0,0,0,4,141000
60,7,5,1065,0,92,1157,1180,882,0,2062,1,0,2,1,3,1,7,1,2,454,60,55,0,0,154,0,0,4,277000
20,6,7,787,0,305,1092,1092,0,0,1092,1,0,1,0,3,1,6,0,2,504,0,0,0,0,0,0,0,7,145000
30,5,6,468,0,396,864,864,0,0,864,1,0,1,0,2,1,5,0,0,0,0,0,96,0,0,0,0,4,98000
20,6,5,36,0,1176,1212,1212,0,0,1212,0,0,2,0,3,1,6,0,2,460,100,22,0,0,0,0,0,3,186000
60,7,5,822,0,78,900,932,920,0,1852,1,0,2,1,3,1,7,1,2,644,168,108,0,0,0,0,0,7,252678
